"1","1","15",
"2","2","16",
"3","2","184",
"4","3","17",
"5","4","18",
"6","5","53",
"7","6","54",
"8","7","55",
"9","8","56",
"10","9","57",
"11","10","58",
"12","11","59",
"13","12","60",
"14","13","61",
"15","14","62",
"16","15","63",
"17","16","64",
"18","17","65",
"19","18","66",
"20","19","67",
"21","20","69",
"22","21","70",
"23","22","71",
"24","23","72",
"25","24","73",
"26","25","74",
"27","26","76",
"28","27","77",
"29","28","78",
"30","29","79",
"31","30","80",
"32","31","81",
"33","32","82",
"34","33","83",
"35","34","84",
"36","35","85",
"37","36","86",
"38","37","87",
"39","38","88",
"40","39","89",
"41","40","90",
"42","41","91",
"43","42","92",
"44","43","93",
"45","44","94",
"46","45","95",
"47","46","96",
"48","47","97",
"49","48","98",
"50","49","99",
"51","50","100",
"52","51","101",
"53","52","102",
"54","53","103",
"55","54","104",
"56","55","105",
"57","56","106",
"58","57","107",
"59","58","108",
"60","59","109",
"61","60","110",
"62","61","111",
"63","62","112",
"64","63","113",
"65","64","114",
"66","65","115",
"67","66","116",
"68","67","117",
"69","68","118",
"70","69","119",
"71","70","120",
"72","71","121",
"73","72","122",
"74","73","123",
"75","74","124",
"76","75","125",
"77","76","126",
"78","77","127",
"79","78","129",
"80","79","130",
"81","80","131",
"82","81","132",
"83","82","133",
"84","83","134",
"85","84","135",
"86","85","137",
"87","86","138",
"88","87","139",
"89","88","140",
"90","89","141",
"91","90","142",
"92","91","143",
"93","92","144",
"94","93","145",
"95","94","146",
"96","95","147",
"97","96","149",
"98","97","150",
"99","98","151",
"100","99","152",
"101","100","153",
"102","101","154",
"103","102","155",
"104","103","156",
"105","104","157",
"106","105","158",
"107","106","159",
"108","107","160",
"109","108","161",
"110","109","162",
"111","110","163",
"112","111","164",
"113","112","165",
"114","113","166",
"115","114","167",
"116","115","168",
"117","116","170",
"118","117","171",
"119","118","172",
"120","119","173",
"121","120","174",
"122","121","175",
"123","122","176",
"124","123","177",
"125","124","178",
"126","125","180",
"127","126","181",
"128","127","182",
"129","128","183",
