"objectTypeName","PhysicalType","description"
"Thought","Mental","Thought or mental note"
"Idea","Mental","Idea from user"
"File","Virtual","File on a computer system"
"Folder","Virtual","location on a computer system"
"Physical Thing","Physical","Physical object"
