"name","url","title","txt","html","catList"
"Category:MindOntology:Cognitive Structures","http://wiki.opencog.org/w/Category:MindOntology:Cognitive_Structure","Category:MindOntology:Cognitive Structure","","",""
"Category:MindOntology:Concepts for Describing Aspects of  Minds","http://wiki.opencog.org/w/Category:MindOntology:Concepts_for_Describing_Aspects_of_Minds","Category:MindOntology:Concepts for Describing Aspects of Minds","","",""
"Category:MindOntology:Properties of Whole Minds","http://wiki.opencog.org/w/Category:MindOntology:Properties_of_Whole_Minds","Category:MindOntology:Properties of Whole Minds","","",""
"Category:MindOntology:AGI Projects","http://wiki.opencog.org/w/Category:MindOntology:AGI_Projects","Category:MindOntology:AGI Projects","","",""
"Category:MindOntology:Knowledge and Software Resources","http://wiki.opencog.org/w/Category:MindOntology:Knowledge_and_Software_Resources","Category:MindOntology:Knowledge and Software Resources","","",""
"Category:MindOntology:Philosophical Ontologies Relevant to Cognition","http://wiki.opencog.org/w/Category:MindOntology:Philosophical_Ontologies_Relevant_to_Cognition","Category:MindOntology:Philosophical Ontologies Relevant to Cognition","","",""
"MindOntology","http://wiki.opencog.org/w/Category:MindOntology","Category:MindOntology","","",""
