"num","subject","predicate","object"
"73","AbstractInformationStructure","rdf-schema#comment","A specialization of #$AbstractStructure.  Each instance of #$AbstractInformationStructure is an abstract individual comprising abstract symbols and relations between them. Important specializations of this collection include #$CharacterString and #$Sentence. #$AbstractInformationStructure also includes abstract diagrams, graphs, and bit strings. The collection can be more precisely defined as follows: Each #$AbstractInformationStructure is such that each of its physical instantiations (see #$instantiationOfAIS) consists of instantiations of instances of #$AtomicSymbol-Abstract, arranged in a certain way. For example, the abstract sentence 'The pig flies' is an #$AbstractInformationStructure. Each written instantiation of it consists of an instantiation of the words (symbols) 'The', 'pig' and 'flies', written in that order. (If the #$AbstractInformationStructure 'The pig flies' were spoken, the same words would appear in the same order, i.e. 'The' first, etc., but the sequence would be determined by the arrangement of the spoken words in time, rather than space.) Likewise with abstract diagrams, graphs, etc. Each of these is such that its physical instantiations consist of arrangements of instantiations of instances of #$AtomicSymbol-Abstract. A hard copy of a wiring diagram consists of a group of concrete symbols representing various circuit components, in which these symbols are spatially arranged in a certain in way. The arrangement of the concrete symbols in an instantiation of an #$AbstractInformationStructure is not always a simple matter of arrangement in space or time. The sequence of symbols '0010010111011001' can be instantiated in written, spoken, or electronic forms. In the last case, the order of the symbols is determined by conventions concerning the electronic medium in which it is stored, rather than by any common criterion for precedence or subsequence in space or time."
"74","InternationalTerritorialDispute","prettyString","international territorial disputes"
"75","AbductorDigitiMinimi","rdf-schema#subClassOf","SkeletalMuscle"
"76","8MMCassette","22-rdf-syntax-ns#type","ExistingObjectType"
"77","AcceptingAnInvitation","prettyString","will accept an invitation"
"78","21cTestGroup6","22-rdf-syntax-ns#type","Group"
"79","7Seconds-MusicGroup","22-rdf-syntax-ns#type","RockMusicPerformer"
"80","AboveGroundFuelStorageTank","rdf-schema#subClassOf","FixedStructure"
"81","PharmaceuticalCompany","rdf-schema#subClassOf","ResearchOrganization"
"82","ThrillerMovie","prettyString-Canonical","thriller movie"
"83","54thMechInfDivision-RRS","prettyString-Canonical","54th Mech Inf Div"
"84","DocumentStructureRepresentationConstant","22-rdf-syntax-ns#type","TextLearnerConstantTypeByFunctionalArea"
"85","AbleMinded","rdf-schema#subClassOf","IntelligentAgent"
"86","SubTopicFunction","rdf-schema#subClassOf","UnaryFunction"
"87","Container-Underspecified","22-rdf-syntax-ns#type","UnderspecifiedCollectionType"
"88","BiologicalFamily","typeGenls","Organism-Whole"
"89","ComputerProgramCopy","prettyString","copies of a computer program"
"90","MicrosoftComputerProgram","prettyString","Microsoft programs"
"91","accessoryFor","arg2Format","SetTheFormat"
"92","AccessingPersonalInformation","rdf-schema#subClassOf","AccessingAnIBT"
"93","AbutilonSandwicense","rdf-schema#subClassOf","Plant"
"94","accusedOf","rdf-schema#range","Action"
"95","85MMSmoothBoreCannon","rdf-schema#subClassOf","SmoothBoreWeapon"
"96","133SignalsBatt-RRS","prettyString-Canonical","133 Sig Bn"
"97","FieldArtilleryUnit-MilitarySpecialty","22-rdf-syntax-ns#type","MilitaryOrganizationConcept"
"98","21cTestGroup11","prettyString-Canonical","21c Test Group 11"
"99","20thMRD","22-rdf-syntax-ns#type","MotorizedRifleDivision"
"100","Abortion-Intentional","prettyString","aborting"
"101","SAICBioTerrorismEventsDataMt","genlMt","CIAWorldFactbook1997Mt"
"102","Actor","rdf-schema#comment","The collection of people whose job it is to entertain others by taking on the roles of other characters in #$DramaticPerformances.  Note that an #$Actor may be #$Male or #$Female."
"103","SituationalObjectType","22-rdf-syntax-ns#type","FacetingCollectionType"
