"num","subject","predicate","object"
"1","2s12-Mortar","prettyString","2s12"
"2","ShelterConstruction","owl#disjointWith","PathArtifactSystem"
"3","FixedSizeComputerDatatypeType","22-rdf-syntax-ns#type","SecondOrderCollection"
"4","AccessServer-TheProgram","22-rdf-syntax-ns#type","ServerProgram"
"5","Platform-Military","22-rdf-syntax-ns#type","SpatiallyDisjointObjectType"
"6","ChangeOfStatusEvent","owl#disjointWith","Collapsing-Generic"
"7","AccelInternationalCorporation","22-rdf-syntax-ns#type","Individual"
"8","Resigning","prettyString","has resigned"
"9","25InchTelevisionSet","prettyString","25 inch television sets"
"10","KEInteractionFolder","prettyString-Canonical","Cyc ke interaction folder"
"11","NonNegativeScalarInterval","22-rdf-syntax-ns#type","AtemporalNecessarilyEssentialCollectionType"
"12","AbdominalCavity","22-rdf-syntax-ns#type","SpatiallyDisjointObjectType"
"13","IslamicNationalist","22-rdf-syntax-ns#type","FirstOrderCollection"
"14","accountFullName","prettyString-Canonical","Account Full Name"
"15","SentientAnimal","22-rdf-syntax-ns#type","AnimalsByMiscellaneousCriteria-Biology-Topic"
"16","AccountSystemFn","rdf-schema#comment","(#$AccountSystemFn SYSTEM-TYPE STRING) denotes an #$AccountSystem of type SYSTEM-TYPE which is hosted on a domain uniquely identified by STRING. For example, (#$AccountSystemFn #$NISDomain "hello.world.net") denotes the #$NetworkInformationSystem account system on hello.world.net."
"17","touchesAtEnd","22-rdf-syntax-ns#type","PredicateOrCollection-UsedInUCTRepresentation"
"18","MicrosoftComputerProgram","22-rdf-syntax-ns#type","ComputerProgramTypeByCreator"
"19","abductiveExpansion","22-rdf-syntax-ns#type","UnderstandingEnrichmentRelation"
"20","availableCoreferentInUDS","rdf-schema#comment","(#$availableCoreferentInUDS UDS PEG) is true if PEG is a discourse entity that is a candidate co-reference target for anaphors in UDS. In particular, this means that PEG is either new (in the sense of #$newDiscourseReferentInUDS) or accessible from another discourse structure (cf. #$accessibleDiscourseReferentInUDS) that is super-ordinate to, i.e., "visible" to, UDS."
"21","AccessingData-MP3","rdf-schema#subClassOf","AccessingAnIBT"
"22","GasField","prettyString-Canonical","gas field"
"23","SearchEngine","rdf-schema#comment","A collection of computer programs. Each #$SearchEngine takes as input a query string (which may be natural language, a specified syntax, or just a series of words) and returns a list of 'hits' - pointers to documents the search engine believes are relevant to the query. The domain for a search engine may be the World Wide Web, Usenet newsgroups, an individual #$ComputerDisk, or any other online collection of documents."
"24","AbstractIndividual","prettyString","individuals that has been also abstract thing"
"25","AbdulMajeedDar","prettyString-Canonical","Abdul Majeed Dar"
"26","A1WebServer-TheProgram","22-rdf-syntax-ns#type","Individual"
"27","SpatiallyDisjointObjectType","rdf-schema#comment","A collection of collections and a specialization of #$ObjectType (q.v.). Each instance of #$SpatiallyDisjointObjectType is a collection C of spatial things (see #$SpatialThing), where each of the spatial things in C is spatially disjoint with the other spatial things in C.
<p>
For example, the collection #$Dog is an instance of #$SpatiallyDisjointObjectType, since dogs do not spatially overlap.  Even pregnant dogs do not spatially overlap the pups they bear; rather, pregnant dogs contain their unborn pups.  Other instances of #$SpatiallyDisjointObjectType include #$LatitudeLine, #$CompactDisc-Audio, and #$PlanetaryBody.  An important specialization of #$SpatiallyDisjointObjectType is #$SpatiallyDisjointRegionType (a collection of specializations of #$GeographicalRegion, such as #$City and #$TrueContinent)."
"28","8MMCamcorder","prettyString-Canonical","8mm camcorder"
"29","AccessoryFn-Activity","22-rdf-syntax-ns#type","ReifiableFunction"
"30","MicrosoftComputerProgram","prettyString","Microsoft programz"
"31","ComedyMovie","22-rdf-syntax-ns#type","MovieTypeByGenre"
"32","SaudiPerson","prettyString","Saudi person"
"33","CommercialOrganization","22-rdf-syntax-ns#type","OrganizationTypeByProfitMotive"
"34","MultiDimensionalQuantity","prettyString-Canonical","multi dimensional quantity"
"35","touches","genlInverse","touches"
"36","arg3Genl","rdf-schema#domain","Relation"
"37","AbsorptionEvent","prettyString","has taken in"
"38","WordNetWorkflowConstant-NotFullyReviewed","prettyString-Canonical","word net workflow constant not fully reviewed"
"39","TransportationDevice","rdf-schema#subClassOf","Artifact-NonAgentive"
"40","AccessValidationFault","rdf-schema#subClassOf","ProgramFault"
"41","NormativeSpecification","rdf-schema#subClassOf","Specification"
"42","3DPipesScreenSaver-TheProgram","rdf-schema#comment","An instance of #$ScreenSaver."
"43","CountrySubsidiary","rdf-schema#subClassOf","NonNaturalThing"
"44","PregnancyEndingEvent","rdf-schema#comment","A specialization of #$IntrinsicStateChangeEvent and #$AnimalActivity. Each instance of this collection is an event which terminates a #$Pregnancy. Notable specializations of this collection include birth (cf. #$BirthEvent), abortion (cf. #$Abortion-Intentional), and #$Miscarriage."
"45","ServiceProgram","prettyString","service programz"
"46","CycHLSupportModule","prettyString","Cyc HL support modules"
"47","FinanceDepartment","rdf-schema#subClassOf","Department"
"48","ResearchOrganization","rdf-schema#subClassOf","Organization"
"49","ComputerManufacturer","rdf-schema#subClassOf","HighTechManufacturingEnterprise"
"50","20BroadStreet","22-rdf-syntax-ns#type","OfficeBuilding"
"51","Resigning","prettyString","resigning"
"52","124CbtEngrBn","quotedIsa","FACToryIrrelevantTerm"
"53","SubLList","22-rdf-syntax-ns#type","owl#Class"
"54","AccountSystemTypeByImplementationMeans","rdf-schema#comment","A collection of types of #$AccountSystem, divided by their means of implementation. The two most notable instances are #$NISDomain and #$NTDomain."
"55","ComputerScienceConference","rdf-schema#subClassOf","ScientificConference"
"56","4ByteIntegerDatatype","22-rdf-syntax-ns#type","SKSIDataTypeDescriptions-Topic"
"57","AbeVigoda","prettyString-Canonical","Abe Vigoda"
"58","EngineeringUnit-MilitarySpecialty","rdf-schema#subClassOf","Platoon-MilitaryEchelon"
"59","intendedMaleficiary","rdf-schema#subPropertyOf","focalSubject"
"60","Accwiz-TheProgram","22-rdf-syntax-ns#type","UserProgram"
"61","superTaxons","rdf-schema#comment","code>.  For example, (#$superTaxons #$DomesticCat #$FelisGenus) holds.  See also #$taxonMembers."
"62","FieldArtilleryUnit-MilitarySpecialty","prettyString-Canonical","field artillery unit"
"63","PregnancyEndingEvent","prettyString","have ended a pregnancy"
"64","2s12-Mortar","prettyString","2s12 120mm towed mortar"
"65","FixedStructure","prettyString","fixed free-standing structure"
"66","AccountSystemTypeByImplementationMeans","typeGenls","AccountSystem"
"67","ManufacturedGoodsType","rdf-schema#subClassOf","FacetInstanceCollection"
"68","TelevisionSet","facets-Strict","TelevisionSetTypeByProjectionStyle"
"69","MedicalTreatmentEvent","rdf-schema#subClassOf","MedicalCareEvent"
"70","AccentFurniture","prettyString-Canonical","accent furniture"
"71","AbdulRahimMaluah","prettyString","Maluah"
"72","TransportationDevice","22-rdf-syntax-ns#type","SpatiallyDisjointObjectType"
"73","Pathname","22-rdf-syntax-ns#type","IDStringType"
"74","NoteOnCycMergedOntologyConstants","quotedIsa","SharedNote"
"75","81stMeridian-West","22-rdf-syntax-ns#type","LongitudeLine"
"76","AcetylcholinePoisoning","prettyString-Canonical","acetylcholine poisoning"
"77","ProcessType","typeGenls","Event"
"78","under-UnderspecifiedLocation","22-rdf-syntax-ns#type","owl#TransitiveProperty"
"79","AbuKheirElMasry","prettyString-Canonical","Abu Kheir el Masry"
"80","ComputerHardwareTypeByBrandVersion","typeGenls","ManufacturedGoods"
"81","AbkhazLanguage","prettyString","Abxazo"
"82","2ndManeuverBrigade-RRS","22-rdf-syntax-ns#type","PartiallyTangible"
"83","AdultMaleHuman","prettyString","men"
"84","AccountingFirm","rdf-schema#subClassOf","ProfessionalServiceOrganization"
"85","35thParallel-North","22-rdf-syntax-ns#type","LatitudeLine"
"86","Disgust","22-rdf-syntax-ns#type","SomeEmotionsAboutAttractionAndDislike-Emotion-Topic"
"87","Temperature","rdf-schema#subClassOf","PhysicalQuantity"
"88","acceptableTreatmentForMaleficiaryType","arg2Genl","PhysiologicalCondition"
"89","negationPreds","rdf-schema#comment","code> are constrained (see e.g. #$interArgIsa) either to both having the same fixed-arity (see #$FixedArityRelation) or to both having variable-arity (see #$VariableArityRelations).     
<p>
See also #$genlPreds and #$negationInverse."
"90","EmotionalQuantityType","prettyString","kinds of emotion"
"91","PersonTypeByActivity","rdf-schema#subClassOf","KEClarifyingCollectionType"
"92","PhysiologicalCondition","22-rdf-syntax-ns#type","AnimalPhysiology-Physiology-Topic"
"93","AmateurVideoCamera","rdf-schema#subClassOf","VideoCamera"
"94","accelerationOfObject-Translation","rdf-schema#range","Acceleration"
"95","CoexistingWithSomethingElse","rdf-schema#comment","A collection of situations; a subcollection of #$SomethingExisting. In each #$CoexistingWithSomethingElse, something exists together with something else."
"96","AcidType-Monoprotic","prettyString","monoprotic acids"
"97","IslamicNationalist","prettyString","Islamic nationalism persons"
"98","AccentFurniture","22-rdf-syntax-ns#type","SpatiallyDisjointObjectType"
"99","MusicalInstrument","22-rdf-syntax-ns#type","SpatiallyDisjointObjectType"
"100","ChemicalWeaponsUnit-MilitarySpecialty","22-rdf-syntax-ns#type","GenericMilitaryOrganizations-Organization-Topic"
"101","SolidTangibleThing","22-rdf-syntax-ns#type","DosageFormType"
"102","GenericQuantity","rdf-schema#subClassOf","NonNumericScalarQuantity"
"103","arg1QuotedIsa","22-rdf-syntax-ns#type","NonAbduciblePredicate"
"104","accountSystemAccessed","22-rdf-syntax-ns#type","BinaryRolePredicate"
"105","Course-Academic","prettyString-Canonical","course-academic"
"106","AccessoryFn-Activity","rdf-schema#domain","owl#Class"
"107","IBTContentType","22-rdf-syntax-ns#type","AtemporalNecessarilyEssentialCollectionType"
"108","AcademyAwardFn","rdf-schema#comment","(#$AcademyAwardFn CATEGORY YEAR) denotes the Academy Award given in the #$AcademyAwardCategory CATEGORY for the #$CalendarYear YEAR.  Note that there is one award per year.  The award may be shared, in which case two Oscar statues will be given (more if collaborators are involved).  See also #$AcademyAward."
"109","IslamicNationalist","prettyString","people whose belief systems have included Islamic nationalism"
"110","AbsoluteGoalSuccess","rdf-schema#subClassOf","MentalSituation"
"111","touches","prettyString","have touched an object"
"112","GeopoliticalEntity","prettyString","geopolitical entities"
"113","AAAI","22-rdf-syntax-ns#type","ResearchOrganization"
"114","ScalarInterval","prettyString","quantum"
"115","8MMCamcorder","22-rdf-syntax-ns#type","ExistingObjectType"
"116","AccountsPayableWorker","prettyString","accounts payable clerks"
"117","SearchEngine","prettyString","Web directory"
"118","NBCWeaponStorageFacility","prettyString-Canonical","NBC weapon storage facility"
"119","Helicopter","quotedIsa","TerrorismOntologyConstant"
"120","AbuMusaConflict-1992","prettyString-Canonical","Abu Musa Conflict 1992"
"121","FacetInstanceCollection","rdf-schema#subClassOf","owl#Class"
"122","PharmaceuticalCompany","rdf-schema#comment","Instances are companies which develop and produce drugs and other pharmaceutical products, such as medical devices. "
"123","EngineeringUnit-MilitarySpecialty","rdf-schema#comment","The collection of all military units specialized to provide engineering support to other military units."
"124","AbuKhaleedAlMadani","prettyString-Canonical","Abu Khaleed al-Madani"
"125","AB-205-Helicopter","prettyString-Canonical","AB-205 helicopter"
"126","intervalEntryFormatInArgs","rdf-schema#comment","An instance of #$SpecificEntryFormatPredicate (q.v.) that is used only with argument-places that are constrained to instances (see #$argIsa) of either #$ScalarInterval or #$TimeInterval or some specialization of either.  (#$intervalEntryFormatInArgs PRED N) means that, for any particular way of fixing the other arguments to PRED besides the Nth, for any two intervals such that if either one is taken as the Nth argument PRED holds of those arguments, those intervals must "overlap" (see #$quantityIntersects and #$temporallyIntersects).  That is, if the sequences <... ARGN ...> and <... ARGN-PRIME ...> differ at most in their Nth items and both (PRED ... ARGN ...) and (PRED ... ARGN-PRIME ...) hold, then (i) if (#$argIsa PRED N #$ScalarInterval) then (#$quantityIntersects ARGN ARGN-PRIME) holds and (ii) if (#$argIsa PRED N #$TimeInterval) then (#$temporallyIntersects ARGN ARGN-PRIME) holds.   

For example, #$intervalEntryFormatInArgs holds of #$bodyTemperature with respect to its second argument-place because, while a given creature (at a given moment in time) has a single exact (see #$ScalarPointValue) body temperature, we want the predicate #$bodyTemperature to be flexible enough to allow us to specify this temperature with varying degrees of precision (e.g. as "98.6 degrees Fahrenheit" or as "between 98 and 99 degrees Fahrenheit" or as "less than 100 degrees Fahrenheit").

For another example, #$intervalEntryFormatInArgs holds of #$foundingDate with respect to its second argument-place because, while a given city has a single exact (see #$startingPoint) time when it was founded, we want the predicate #$foundingDate to be flexible enough to allow us to specify this date with varying degrees of precision (e.g. as "June 14, 1964," "June 1964," or simply "1964").

Note that many interval-entry format argument-places that are constrained to time-intervals have #$Date as their asserted #$argIsa constraint."
"127","abstractInfoAbout","rdf-schema#comment","(#$abstractInfoAbout INFO TERM) means that the #$AspatialInformationStore INFO contains information about TERM.  The information does not *necessarily* have propositional content; a picture may convey abstract information concerning the way someone looks, but 'the way someone looks' need not be expressible propositionally."
"128","IntegerComputerNumber","22-rdf-syntax-ns#type","SKSIDataTypeDescriptions-Topic"
"129","AcademicYear","rdf-schema#comment","Each instance of this collection is an annually recurring occurrence comprising the planned yearly activities at an educational institution. Thus, things of the form StanfordAcademicYear1997 and UCLAAcademicYear1997 are distinct instances of #$AcademicYear, even though they may occupy the same temporal extent (i.e., the same #$TimeInterval)."
"130","LaptopComputer","prettyString","laptops"
"131","Accusing","prettyString","had accused"
"132","AccessingAnIBT","prettyString","information-accessing events"
"133","receivesServicesFrom","prettyString","recipients of services"
"134","above-Generally","22-rdf-syntax-ns#type","RelativePositionsOfObjects-Spatial-Topic"
"135","AbuMusabAlSudani","22-rdf-syntax-ns#type","AdultMaleHuman"
"136","AbducensNerve","rdf-schema#subClassOf","CranialNerve"
"137","objectFoundInLocation","prettyString-Canonical","location"
"138","Credential","22-rdf-syntax-ns#type","InformationAndCWs-Topic"
"139","VideoCassette","prettyString","videotapes"
"140","Helicopter","siblingDisjointExceptions","MilitaryAircraft"
"141","Abbreviation","22-rdf-syntax-ns#type","ObjectType"
"142","AbdulKalam","prettyString-Canonical","Abdul Kalam"
"143","Leader","prettyString","Head"
"144","36thParallel-North","22-rdf-syntax-ns#type","Individual"
"145","arg1QuotedIsa","arity","2"
"146","above-Generally","arg2Format","openEntryFormatInArgs"
"147","LinearAccelerationVector","22-rdf-syntax-ns#type","VectorIntervalType"
"148","AcerAcernoteComputer","rdf-schema#subClassOf","AcerComputer"
"149","Aba-Garment","rdf-schema#subClassOf","OuterGarment"
"150","AccessPath-TheProgram","22-rdf-syntax-ns#type","Individual"
"151","AccumulatingSteadily","prettyString","builds up"
"152","requiredArg1Pred","rdf-schema#domain","owl#Class"
"153","AbductionTest","rdf-schema#comment","A collection of tests, whose instances should test system functionality that is relevant to the way the abductive tactician works. The name of these test should usuallky begin with "AbductionTest-"."
"154","AcesTheCompleteCollectorsEdition-TheGame","22-rdf-syntax-ns#type","SimulationGameProgram"
"155","Endangered-OrganismTypeByExistentialThreatLevel","22-rdf-syntax-ns#type","TestOWLExportConcept"
"156","ComputerProgram-CW","prettyString","software titles"
"157","MusicalInstrument","owl#disjointWith","HumanlyOccupiedSpatialObject"
"158","AccessingData-MP3","rdf-schema#subClassOf","ComputerActivity"
"159","AccessoryFn-Artifact","rdf-schema#comment","The expression `(#$AccessoryFn-Artifact PRODTYPE)' denotes the collection of accessories for the product type PRODTYPE. To clarify, the resulting collection is such that every member of it is an accessory for some spec of PRODTYPE. For example, the collection of computer printers would be in the collection (#$AccessoryFn-Artifact #$PersonalComputer) because every computer printer is an accessory for some type of personal computer. However, no computer printer is an accessory for every personal computer."
"160","AC-DC-MusicGroup","22-rdf-syntax-ns#type","Individual"
"161","genlMt","oldConstantName","baseMt"
"162","AcadiaRealtyTrust","prettyString-Canonical","Acadia Realty Trust"
"163","88thMeridian-West","22-rdf-syntax-ns#type","LongitudeLine"
"164","83rdMeridian-West","22-rdf-syntax-ns#type","Individual"
"165","AbrahamLincoln","prettyString","Abraham Lincoln"
"166","SearchEngine","prettyString","websearching engine"
"167","AccessingAComputerAccount","prettyString","will access a computer account"
"168","Endangered-OrganismTypeByExistentialThreatLevel","22-rdf-syntax-ns#type","OrganismTypeByExistentialThreatLevel"
"169","SystemicVein","prettyString-Canonical","systemic vein"
"170","GasField","prettyString","gas fields"
"171","Leader","prettyString-Canonical","leader"
"172","802-11WirelessLANProtocol","prettyString","Wireless LAN"
"173","Mortar-120mm-Standard","prettyString","standard 120mm mortars"
"174","AbsorptionEvent","prettyString","has absorbed"
"175","singleEntryFormatInArgs","quotedIsa","OpenCycDefinitionalPredicate"
"176","AC-DC-MusicGroup","prettyString","ACDC"
"177","AbdominalExerciseDevice","prettyString","abdominal exercise machine"
"178","accountSystemAccessed","arity","2"
"179","ComputerWallpaperFile","prettyString","wallpaper themes"
"180","OilField","22-rdf-syntax-ns#type","ExistingObjectType"
"181","2ndManeuverBrigade-RRS","22-rdf-syntax-ns#type","SpatialThing-Localized"
"182","2ByteIntegerDatatype","rdf-schema#subClassOf","IntegerComputerNumber"
"183","AnimalBodyPart","22-rdf-syntax-ns#type","ExistingObjectType"
"184","accessToNotAmenable","arg1Format","openEntryFormatInArgs"
"185","76MMRifledBoreCannon","prettyString-Canonical","76 mm rifled bore cannon"
"186","CourseTypeByLevel","22-rdf-syntax-ns#type","CollectionType"
"187","accomplices","22-rdf-syntax-ns#type","CoexistingObjectsPredicate"
"188","above-Touching","rdf-schema#subPropertyOf","above-Directly"
"189","ServerProgram","22-rdf-syntax-ns#type","ObjectType"
"190","8MMCassette","22-rdf-syntax-ns#type","ArtifactTypeByGenericCategory"
"191","AbuMusaIncidentMt","genlMt","BaseKB"
"192","List","22-rdf-syntax-ns#type","AtemporalNecessarilyEssentialCollectionType"
"193","ObjectType","22-rdf-syntax-ns#type","FacetingCollectionType"
"194","ComputerActivityType","owl#disjointWith","CourseOfStudyType"
"195","GasPipeline","22-rdf-syntax-ns#type","ExistingObjectType"
"196","BiologicalSpecies","22-rdf-syntax-ns#type","Biology-Topic"
"197","IntelligentAgentActivity","prettyString","intelligent agent activities"
"198","MedicalTreatmentEvent","22-rdf-syntax-ns#type","Medicine-Other-Topic"
"199","IBTContentType","22-rdf-syntax-ns#type","SecondOrderCollection"
"200","Powder","rdf-schema#comment","A specialization of #$Granular.  Instances of #$Powder are composed of many fine particles and are #$FluidTangibleThing."
"201","availableCoreferentInUDS","22-rdf-syntax-ns#type","IntangibleObjectRelatingPredicate"
"202","CoexistingWithSomethingElse","rdf-schema#subClassOf","SomethingExisting"
"203","SpatialThing-Localized","prettyString","locatable things"
"204","ResearchOrganization","prettyString","research organizations"
"205","ComputerWallpaperFile","prettyString","desktop background"
"206","AbuIyad-PLOLeader","prettyString","Abu Iyyad"
"207","AccessoryNerve","rdf-schema#subClassOf","MotorNerve"
"208","AccredoHealthIncorporated","22-rdf-syntax-ns#type","PubliclyHeldCorporation"
"209","AbandonedCamp","rdf-schema#subClassOf","Campsite"
"210","21cTestGroup2-12","rdf-schema#comment","21c group2 12  ."
"211","NormativeSpecification","22-rdf-syntax-ns#type","ObjectType"
"212","academyAwardNominee","22-rdf-syntax-ns#type","MoviePredicate"
"213","A_Change-ThePrefix","22-rdf-syntax-ns#type","Individual"
"214","25InchTelevisionSet","22-rdf-syntax-ns#type","SpatiallyDisjointObjectType"
"215","ComputerTypeByBrand","22-rdf-syntax-ns#type","AtemporalNecessarilyEssentialCollectionType"
"216","Professional","prettyString","pros"
"217","SoftwarePackage","prettyString-Canonical","software package"
"218","movesWith","22-rdf-syntax-ns#type","ReflexiveBinaryPredicate"
"219","accessToExpected","22-rdf-syntax-ns#type","rdf-schema#Property"
"220","AccessoryFn-Activity","resultIsa","FirstOrderCollection"
"221","DeskWorker","prettyString","desk workers"
"222","personRepresentingAgent","arg2Format","SetTheFormat"
"223","abstractInfoAbout","rdf-schema#domain","AspatialInformationStore"
"224","TemporalObjectType","22-rdf-syntax-ns#type","SetOrCollection"
"225","ScalarInterval","prettyString","amount"
"226","NorthernCaucasianLanguageFamily","rdf-schema#subClassOf","CaucasianLanguageFamily"
"227","Accusing","rdf-schema#subClassOf","HostileSocialAction"
"228","acceptableTreatmentForMaleficiaryType","rdf-schema#range","PhysiologicalConditionType"
"229","ManufacturedGoodsType","typeGenls","ManufacturedGoods"
"230","ToxinBioAgentType","prettyString","types of biological toxin agent"
"231","AAAIPress","prettyString-Canonical","AAAI Press"
"232","PoisoningTypeByAgentType","rdf-schema#subClassOf","PhysiologicalConditionType"
"233","TrainingCamp","prettyString-Canonical","training camp"
"234","DeskWorker","prettyString","office workers"
"235","13InchTelevisionSet","22-rdf-syntax-ns#type","TelevisionSetTypeBySize"
"236","WeakElectrolyte","rdf-schema#comment","The collection of all polyatomic chemical stuffs that partially decompose into ions when disolved in water.  An instance of #$WeakElectrolyte may be a mixture of chemical compounds.  It need not be an instance of an instance of #$ChemicalCompoundTypeByChemicalSpecies."
"237","accountsReceivable","rdf-schema#comment","This predicate is used to state the amount of money the named #$IntelligentAgent is owed.  Assertions should be made using #$holdsIn to specify during which #$TimeInterval they are true.  So, (accountsReceivable AGENT MONEY) means that AGENT is owed MONEY.  Usually AGENT is owed MONEY due to sales."
"238","SAICTerroristGroupsDataMt","genlMt","CurrentWorldDataCollectorMt-NonHomocentric"
"239","21cTestGroup2","22-rdf-syntax-ns#type","21cSagemanDataGroup"
"240","1stGradeSuccessStarter-TheGame","22-rdf-syntax-ns#type","ComputerGameProgram"
"241","PhysicalLayerProtocol","prettyString-Canonical","physical layer protocol"
"242","objectFoundInLocation","rdf-schema#domain","SpatialThing-Localized"
"243","AbrahamLincoln","rdf-schema#comment","Abraham Lincoln (1809-1865),  born in #$Kentucky-State, practiced law in the #$CityOfSpringfieldIL (#$Illinois-State) and held several public offices there.  #$AbrahamLincoln was elected the 16th president of the United States and he was the Union's leader during the #$UnitedStatesCivilWar.  He was assassinated by the actor #$JohnWilkesBooth."
"244","85MMSmoothBoreCannon","rdf-schema#subClassOf","TankCannon"
"245","accountsPayable","arg2Format","IntervalEntry"
"246","ExistingObjectType","22-rdf-syntax-ns#type","FacetingCollectionType"
"247","genlMt","arg2Format","SetTheFormat"
"248","CycSubjectClump","quotedIsa","DocumentationConstant"
"249","TemporalObjectType","22-rdf-syntax-ns#type","ThingsWithTemporalExtent-Time-Topic"
"250","1stUpMailServer-TheProgram","22-rdf-syntax-ns#type","UnversionedProgram"
"251","Forgiving","prettyString","will have forgiven"
"252","PhysicalLayerProtocol","rdf-schema#comment","The collection of all network protocols that implement a physical layer. An instance of #$PhysicalLayerProtocol is the  connector between nodes in a network,  or the medium through which data physically travels."
"253","TestOWLExportConcept","rdf-schema#subClassOf","owl#Thing"
"254","CommercialServiceOrganization","22-rdf-syntax-ns#type","CommercialOrganizationsAndAccounts-Financial-Topic"
"255","AbdulAhadGuru","22-rdf-syntax-ns#type","Individual"
"256","superTaxons","arg1Format","SetTheFormat"
"257","AccessingAnIBT","prettyString","has accessed"
"258","AccessingAComputerAccount","rdf-schema#subClassOf","AccessingAnIBT"
"259","ConventionalClassificationType","22-rdf-syntax-ns#type","VariedOrderCollection"
"260","AccessingAnIBT","prettyString","access"
"261","Abacavir","prettyString-Canonical","abacavir"
"262","Administrator","prettyString","persons that has been Has Administrators of an institutes"
"263","IonicDecomposableCompoundType","requiredArg1Pred","anionTypeOfIonicCompoundType"
"264","under-UnderspecifiedLocation","22-rdf-syntax-ns#type","AsymmetricBinaryPredicate"
"265","Abdicating","prettyString","has renounced"
"266","AdultMaleHuman","prettyString-Canonical","MAN"
"267","SituationalObjectType","rdf-schema#subClassOf","ObjectType"
"268","Band-MusicGroup","rdf-schema#subClassOf","OrganizationOfPeopleOnly"
"269","GraphicsEditingProgram","rdf-schema#subClassOf","FileWritingProgram"
"270","PersonTypeByActivity","prettyString","types of person by activity"
"271","HighTechManufacturingEnterprise","22-rdf-syntax-ns#type","ExistingObjectType"
"272","FixedSizeComputerDatatypeType","22-rdf-syntax-ns#type","FacetingCollectionType"
"273","AccessSoftwareInc","22-rdf-syntax-ns#type","SoftwareVendor"
"274","ScalarInterval","22-rdf-syntax-ns#type","ScalarIntervals-Quantity-Topic"
"275","AbuDoha","prettyString","Amar Doha"
"276","AccelerationDueToGravity","rdf-schema#subClassOf","Acceleration"
"277","AbdelazizRhouzlane-911FOAF","22-rdf-syntax-ns#type","Individual"
"278","AbrahamBenrubi","prettyString","Benrubi"
"279","AuthorizedAgreement","prettyString","authorized agreements"
"280","AbstractLexiconSpecification","22-rdf-syntax-ns#type","ObjectType"
"281","400thCycKBBuild","22-rdf-syntax-ns#type","Individual"
"282","Forgiving","prettyString","forgave"
"283","AdventureGameProgram","rdf-schema#subClassOf","ComputerGameProgram"
"284","NaturalLanguage","22-rdf-syntax-ns#type","AtemporalNecessarilyEssentialCollectionType"
"285","76MMRifledBoreCannon","prettyString","76 mm rifled gun"
"286","arg3Genl","prettyString-Canonical","Arg 3 Genl"
"287","Profits","prettyString","rate of monetary flow that has been a profit of a enterprise"
"288","Rubbing","owl#disjointWith","FrictionlessMotion"
"289","400thCycKBBuild","prettyString-Canonical","400th Cyc KB Build"
"290","AcademicTrimester","22-rdf-syntax-ns#type","SpatiallyDisjointObjectType"
"291","AcidType-Monoprotic","prettyString-Canonical","monoprotic acid"
"292","Shortage","22-rdf-syntax-ns#type","TemporalObjectType"
"293","AccessoryFn-Activity","22-rdf-syntax-ns#type","CollectionDenotingFunction"
"294","Actor","22-rdf-syntax-ns#type","AtemporalNecessarilyEssentialCollectionType"
"295","IslamicNationalist","prettyString","persons whose belief systems have included Islamic nationalism"
"296","SetOrCollection","prettyString-Canonical","intensional or extensional set"
"297","AbuSaafaOilField","prettyString","Abu Saafa"
"298","FurniturePiece","22-rdf-syntax-ns#type","SpatiallyDisjointObjectType"
"299","SiblingDisjointCollectionType","22-rdf-syntax-ns#type","KBDependentCollection"
"300","academicCourseLevel","rdf-schema#comment","(#$academicCourseLevel COURSE COURSE-LEVEL) holds just in case COURSE is 
designed for students who are at the education level corresponding to COURSE-LEVEL.  For 
instance, if (#$academicCourseLevel McXFall02Phil101A-Sec1 #$FreshmanCourseLevel) holds,
then McXFall02Phil101A-Sec1 is designed for persons, PERSON such that 
(#$educationLevel PERSON #$FreshmanLevel)."
"301","abbreviationForCompoundString","quotedIsa","NLTerm"
"302","MedicalTreatmentEvent","prettyString","therapy"
"303","SubTopicFunction","22-rdf-syntax-ns#type","AtemporalNecessarilyEssentialCollectionType"
"304","AccessingReferenceResources","rdf-schema#subClassOf","AccessingAnIBT"
"305","SmoothBoreWeapon","prettyString","smooth bore weapons"
"306","KBContentTest-FullySpecified","rdf-schema#subClassOf","KBContentTest-QuerySentenceSpecified"
"307","accelerationDueToGravityOnPlanetaryBody","prettyString-Canonical","Acceleration Due To Gravity On Planetary Body"
"308","AcademicComposition","prettyString-Canonical","paper"
"309","GeneralizedTransfer","22-rdf-syntax-ns#type","ProcessType"
"310","DerivedMeasurableQuantityType","22-rdf-syntax-ns#type","FacetingCollectionType"
"311","AbductingSomeone","prettyString","abducts"
"312","DispositionalQuantity","22-rdf-syntax-ns#type","UnitOfMeasureConcept"
"313","GenericQuantity","prettyString-Canonical","generic quantity"
"314","accelerationDueToGravityOnPlanetaryBody","22-rdf-syntax-ns#type","FunctionalSlot"
"315","actAttributed","22-rdf-syntax-ns#type","BinaryRolePredicate"
"316","AbilityOfToTypeFn","prettyString-Canonical","Ability Of To Type Fn"
"317","touches","prettyString","will have touched an object"
"318","ProgramObject","rdf-schema#comment","A specialization of #$ComputerAIS. #$ProgramObject is the collection of all data structures that are explicitly referenced in computer programs. All data types are considered to be specializations of this collection."
"319","AccelInternationalCorporation","prettyString-Canonical","Accel International Corporation"
