"num","subject","predicate","object"
"4905","21cTestGroup2-10","rdf-schema#comment","21c group2 10  ."
"4906","AceOfBase-MusicGroup","22-rdf-syntax-ns#type","RockMusicPerformer"
"4907","LinearAccelerationVector","prettyString-Canonical","acceleration vector"
"4908","AnalystDatabaseMt","genlMt","LDSCGeneralCollectorMt"
"4909","HighTechManufacturingEnterprise","rdf-schema#subClassOf","TechnologyCompany"
"4910","5-1AdjustableRateLoan","prettyString","1 adjustible rate loans"
"4911","AcademicSemester","rdf-schema#comment","A specialization of #$AcademicTerm. Each instance of this collection is an occurrence consisting of the complex of scheduled activities taking place at an educational institution over a roughly 4-month long period.  This is not a collection of pure time intervals: note that, for example, the 2003 spring semesters at Boston University and at the University of Texas, Austin are represented by distinct, though of course temporally overlapping, instances."
"4912","above-Directly","22-rdf-syntax-ns#type","RelativePositionsOfObjects-Spatial-Topic"
"4913","1993SmugglingOfCWTechnologyToSyriaFromRussia","prettyString-Canonical","1993 Smuggling Of CW Technology To Syria From Russia"
"4914","AcerAcernoteComputer","22-rdf-syntax-ns#type","SpatiallyDisjointObjectType"
"4915","ActsCommonlyConsideredCriminal","prettyString","possibly criminal acts"
"4916","AboveGround","prettyString","aboveground"
"4917","ManufacturingOrganization","owl#disjointWith","TransportationOrganization"
"4918","MediumAccessControlSublayerProtocol","rdf-schema#comment","An instance of #$MediumAccessControlSublayerProtocol is a sublayer of an
instance of #$DataLinkLayerProtocol. A #$MediumAccessControlSublayerProtocol is used in 
broadcast networks to prevent collisions. Collisions occur when two or 
more machines attempt to send data at the same time."
"4919","AccipitrineFamily","rdf-schema#subClassOf","FalconiformOrder"
"4920","2ByteIntegerDatatype","22-rdf-syntax-ns#type","SKSIDataTypeDescriptions-Topic"
"4921","AbaCloth","rdf-schema#comment","The collection of #$Cloth woven from goat and camel hair, made in the #$ArabianPeninsula, #$Syria, or nearby places."
"4922","AbqaiqOilField","22-rdf-syntax-ns#type","Individual"
"4923","BeforeMajorChangesToAnatomicalParts","prettyString-Canonical","Before Major Changes To Anatomical Parts"
"4924","Administrator","prettyString","human that is Has Administrators of an institution"
"4925","4ByteIntegerDatatype","prettyString-Canonical","4-byte integer"
"4926","TwosComplementIntegerDatatype","rdf-schema#subClassOf","ProgramObject"
"4927","AccessingAFile","sharedNotes","NoteOnProgramActions"
"4928","PhysiologicalCondition","prettyString","physiological conditions"
"4929","AbducensNerve","rdf-schema#subClassOf","MotorNerve"
"4930","13InchTelevisionSet","22-rdf-syntax-ns#type","ExistingObjectType"
"4931","SetOrCollection","22-rdf-syntax-ns#type","AtemporalNecessarilyEssentialCollectionType"
"4932","accessToTypeNotAmenable","22-rdf-syntax-ns#type","rdf-schema#Property"
"4933","AccruingInterestOnASavingsAccount","prettyString","had accrued interest on a savings account"
"4934","accessoryFor","arg1Genl","PartiallyTangible"
"4935","AbuMusaIncidentMt","genlMt","HPKB-CF-ReasoningMt"
"4936","Temperature","owl#disjointWith","Molarity"
"4937","abutsSurface","22-rdf-syntax-ns#type","InterExistingObjectPredicate"
"4938","6-TheDigit","prettyString","the numerals 6"
"4939","RockMusicPerformer","22-rdf-syntax-ns#type","MusicalPerformanceAgentTypeByGenre"
"4940","NLMorphologyCollection","22-rdf-syntax-ns#type","AtemporalNecessarilyEssentialCollectionType"
"4941","AboveFreezingOnEarth","22-rdf-syntax-ns#type","Temperature"
"4942","21cTestGroup2-13","22-rdf-syntax-ns#type","Group"
"4943","AbdominalAorta","prettyString","abdominal aortas"
"4944","ConstructionArtifact","rdf-schema#subClassOf","Artifact-HumanCreated"
"4945","BinaryFunction","collectionConventionMt","UniversalVocabularyMt"
"4946","abutsSurface","22-rdf-syntax-ns#type","CoexistingObjectsPredicate"
"4947","8ByteIntegerDatatype","22-rdf-syntax-ns#type","SKSIDataTypeDescriptions-Topic"
"4948","21cSagemanDataGroup","rdf-schema#subClassOf","Group"
"4949","AccruingInterestOnALoan","prettyString-Canonical","accruing interest on a loan"
"4950","BoneSubPart","prettyString-Canonical","bone part"
"4951","ServerProgram","22-rdf-syntax-ns#type","AtemporalNecessarilyEssentialCollectionType"
"4952","AdjustableRateLoan-ConsistentAdjustmentPeriod","prettyString-Canonical","adjustible rate loan with a consistent adjustment period"
"4953","NorthernCaucasianLanguageFamily","prettyString","Northern Caucasian language"
"4954","AbductionTest","quotedIsa","TestQueryConstant"
"4955","Accumulation-Profits","rdf-schema#subClassOf","Profits"
"4956","CartographicFeatureType","22-rdf-syntax-ns#type","NonAbducibleCollection"
"4957","AbdulAzizMoqrin","22-rdf-syntax-ns#type","Person"
"4958","AccountsPayableWorker","prettyString-Canonical","accounts payable clerk"
"4959","Obligation","22-rdf-syntax-ns#type","TemporalStuffType"
"4960","InternalAnatomicalPart","prettyString","internal anatomical part"
"4961","Artifact-NonAgentive","owl#disjointWith","Agent-Generic"
"4962","Reasoning","prettyString","reasoning"
"4963","AccessoryNerve","22-rdf-syntax-ns#type","SymmetricAnatomicalPartType"
"4964","PharmaceuticalCompany","prettyString-Canonical","pharmaceutical company"
